method,topology,tour_length,runtime,seed
Heuristic,0,2.5830385950892536,0.006247520446777344,12345
SA,0,3.300377357640005,1.6795728206634521,12345
GeneticAlgorithm,0,2.6169039245660137,16.34825611114502,12345
Heuristic,1,3.707729757075492,0.008353233337402344,12346
SA,1,3.9897668630901455,2.2145814895629883,12346
GeneticAlgorithm,1,2.636073469312246,18.288815021514893,12346
Heuristic,2,2.6339363589219533,0.008380413055419922,12347
SA,2,3.695667851263784,2.3886630535125732,12347
GeneticAlgorithm,2,2.754460404067414,19.157333612442017,12347
Heuristic,3,3.2235274754808887,0.01163172721862793,12348
SA,3,4.150855908026629,2.40122652053833,12348
GeneticAlgorithm,3,3.0705617211747636,19.008113384246826,12348
Heuristic,4,3.0585531020955243,0.00844573974609375,12349
SA,4,3.1669663193854434,2.3587892055511475,12349
GeneticAlgorithm,4,2.611345717600837,18.001523971557617,12349
Heuristic,5,3.1865483945586286,0.007016897201538086,12350
SA,5,4.126900469140293,1.5287418365478516,12350
GeneticAlgorithm,5,3.3800527372483433,14.21842885017395,12350
Heuristic,6,2.282986894998687,0.007271528244018555,12351
SA,6,3.1610489412902147,2.3236896991729736,12351
GeneticAlgorithm,6,2.3634620087388267,18.576622486114502,12351
Heuristic,7,2.160432017454059,0.0049326419830322266,12352
SA,7,2.553972065750499,2.3099966049194336,12352
GeneticAlgorithm,7,2.326157229959791,18.2062885761261,12352
Heuristic,8,2.7979207552587133,0.0065190792083740234,12353
SA,8,3.7108472753451833,1.9883294105529785,12353
GeneticAlgorithm,8,2.689762669491397,12.596272706985474,12353
Heuristic,9,2.3855760510944095,0.005579710006713867,12354
SA,9,3.4635096416571427,2.4102258682250977,12354
GeneticAlgorithm,9,2.50697360375259,19.23631525039673,12354
